no,gen,trim,year,km,color,accident,price
1,3,0,2018,54071,0,1,1120
2,3,1,2018,70000,0,1,1090
3,3,1,2018,32460,0,0,1550
4,3,1,2018,28074,0,0,1460
5,3,1,2018,57594,2,0,1440
6,3,2,2016,123398,1,0,1050
7,3,1,2018,26505,0,0,1490
8,3,1,2018,20210,0,1,1180
9,3,0,2017,72272,0,1,1030
10,3,1,2016,79687,1,1,890
11,3,1,2016,79852,0,1,1190
12,3,1,2018,80799,1,1,1090
13,3,1,2018,62722,0,0,1440
14,3,1,2018,96646,0,0,1280
15,3,1,2018,122694,0,1,1070
16,3,1,2018,39517,1,0,1400
17,3,1,2018,57462,0,1,1350
18,3,0,2017,18640,0,0,1220
19,3,1,2017,38104,0,0,1259
20,3,1,2018,32594,1,0,1370
21,3,2,2017,55846,0,1,1390
22,3,1,2016,87068,1,1,980
23,3,1,2016,80783,1,0,1150
24,3,2,2016,93941,2,0,1299
25,3,1,2016,86226,0,0,1240
26,3,1,2017,37962,0,0,1290
27,3,0,2016,109577,0,0,990
28,3,1,2018,80846,0,0,1349
29,3,0,2016,14094,0,1,900
30,3,0,2017,140058,0,1,870
31,3,1,2017,62000,1,1,1120
32,3,1,2018,107776,0,1,1110
33,3,0,2017,161827,0,1,799
34,3,1,2018,78289,1,1,1330
35,3,1,2017,77666,0,0,1300
36,3,1,2018,89057,0,0,1440
37,3,1,2017,23229,1,0,1460
38,3,2,2016,121360,1,0,1070
39,3,0,2017,125454,0,1,850
40,3,1,2018,40712,1,0,1399
41,3,1,2018,51367,0,0,1350
42,3,1,2018,108179,0,1,1150
43,3,1,2017,77449,0,1,1150
44,3,1,2018,55110,0,0,1450
45,3,1,2018,50065,1,0,1360
46,3,1,2018,82801,0,1,1170
47,3,1,2018,34507,1,0,1399
48,3,1,2016,43066,1,1,1140
49,3,1,2016,125809,1,0,1000
50,3,0,2016,96000,0,1,1130
51,3,2,2016,49000,0,1,1400
52,3,1,2018,22634,0,0,1479
53,3,1,2018,56083,0,1,1450
54,3,1,2018,73250,0,0,1390
55,3,1,2016,31815,1,0,1390
56,3,1,2016,46162,1,1,1090
57,3,1,2018,14146,1,0,1399
58,3,0,2018,103080,0,1,990
59,3,2,2018,32095,0,1,1230
60,3,1,2018,33706,1,0,1380
61,3,1,2018,89289,2,0,1230
62,3,0,2017,30071,1,0,1250
63,3,1,2018,20337,1,1,1160
64,3,2,2018,53281,0,0,1620
65,3,1,2016,49340,1,0,1350
66,3,1,2018,86317,0,1,1239
67,3,1,2016,77398,0,1,1090
68,3,1,2017,26801,0,0,1370
69,3,1,2017,63578,0,1,1390
70,3,2,2016,61578,0,1,1269
71,3,2,2017,48313,0,0,1490
72,3,1,2017,91317,2,1,1150
73,3,1,2018,34827,1,0,1350
74,3,1,2018,22898,0,1,1270
75,3,2,2018,32906,2,1,1550
76,3,1,2018,40886,0,0,1490
77,3,1,2017,60422,0,1,1250
78,3,0,2016,35455,0,1,1100
79,3,1,2018,27999,0,1,1379
80,3,1,2016,113000,0,1,990
81,3,1,2016,65424,2,0,1280
82,3,2,2016,80189,1,0,1270
83,3,1,2017,63807,0,0,1270
84,3,1,2018,56403,1,0,1380
85,3,1,2018,22953,0,0,1480
86,3,1,2018,80575,0,0,1330
87,3,1,2018,42633,1,1,1580
88,3,1,2017,128000,1,1,890
89,3,0,2018,67246,0,0,999
90,3,1,2017,59432,1,1,1130
91,3,1,2016,53461,1,0,1290
92,3,1,2018,21050,1,0,1420
93,3,1,2017,103033,1,0,1150
94,3,0,2017,130417,0,0,980
95,3,1,2017,93788,1,0,1130
96,3,1,2017,66689,0,0,1390
97,3,1,2017,105602,0,0,1170
98,3,1,2017,62014,1,1,1120
99,3,0,2018,56423,0,1,1050
100,3,1,2018,49849,0,0,1470
101,3,1,2018,22971,1,1,1269
102,3,1,2018,104404,0,0,1240
103,3,1,2016,94823,1,0,1050
104,3,1,2018,35490,0,0,1430
105,3,1,2017,64282,0,1,1249
106,3,1,2016,109591,0,1,1000
107,3,0,2018,61391,1,1,990
108,3,1,2018,134178,1,1,990
109,3,1,2017,142572,1,1,930
110,3,1,2017,39719,1,0,1290
111,3,2,2017,72013,0,1,1220
