cid,model,badge,badgedetail,formyear,mileage,price,color,accident
30254996,"아반떼 AD","1.6 GDI 스타일","",2018,54071,1120,흰색,radiatorSupport
30509567,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,70000,1090,흰색,quarterPanelRight|rearDoorRight|quarterPanelLeft|trunkLead|sideSillPanelRight|frontDoorLeft|rearPanel|rearDoorLeft
31254214,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,32460,1550,흰색,
31178940,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,28074,1460,흰색,
31010094,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,57594,1440,청색,
31079025,"아반떼 AD","1.6 GDI 모던","(세부등급 없음)",2016,123398,1050,검정색,
30670684,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,26505,1490,흰색,
31083454,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,20210,1180,흰색,insidePanelRight|frontFenderRight|hood|trunkLead|sideSillPanelRight|frontDoorRight|radiatorSupport
31190346,"아반떼 AD","1.6 GDI 스타일","",2017,72272,1030,흰색,frontPanel|hood|frontFenderLeft
29846581,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,79687,890,은색,frontSideMemberLeft|frontSideMemberRight|hood|radiatorSupport
30926902,"아반떼 AD","1.6 GDI 스마트","스페셜",2016,79852,1190,흰색,trunkLead|radiatorSupport|rearPanel
31146952,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,80799,1090,은색,frontFenderRight|hood|sideSillPanelLeft|rearDoorLeft
30923589,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,62722,1440,흰색,
30614704,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,96646,1280,흰색,
30496189,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,122694,1070,흰색,rearDoorRight|hood|frontDoorRight|radiatorSupport
31207303,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,39517,1400,쥐색,
31141757,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,57462,1350,흰색,trunkLead
29833944,"아반떼 AD","1.6 GDI 스타일","",2017,18640,1220,흰색,
30692038,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,38104,1259,흰색,
31171160,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,56046,9999,은색,sideSillPanelRight
31189846,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,32594,1370,은색,
30275914,"아반떼 AD","1.6 GDI 모던","(세부등급 없음)",2017,55846,1390,흰색,hood|trunkLead|radiatorSupport
30716911,"아반떼 AD","1.6 GDI 스마트","스페셜",2016,87068,980,쥐색,quarterPanelLeft|sideSillPanelLeft|rearPanel|rearDoorLeft
30598222,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,80783,1150,검정색,
30354077,"아반떼 AD","1.6 GDI 프리미엄","",2016,93941,1299,진주색,
31243431,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,86226,1240,흰색,
31084251,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,37962,1290,흰색,
30821294,"아반떼 AD","1.6 GDI 스타일","",2016,109577,990,흰색,
31238115,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,80846,1349,흰색,
31234809,"아반떼 AD","1.6 GDI 스타일","",2016,14094,900,흰색,frontFenderRight|frontFenderLeft
31208542,"아반떼 AD","1.6 GDI 스타일","",2017,140058,870,흰색,trunkLead|rearPanel
30795343,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,62000,1120,은색,radiatorSupport|frontFenderLeft
30976079,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,107776,1110,흰색,trunkLead
30508147,"아반떼 AD","1.6 GDI 스타일","",2017,161827,799,흰색,quarterPanelRight|quarterPanelLeft|trunkLead|rearPanel
31093221,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,78289,1330,은회색,quarterPanelRight
31197140,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,77666,1300,흰색,
31121967,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,89057,1440,흰색,
30887750,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,23229,1460,은색,
31245344,"아반떼 AD","1.6 GDI 모던","스페셜",2016,121360,1070,쥐색,
30428565,"아반떼 AD","1.6 GDI 스타일","",2017,125454,850,흰색,frontFenderRight|frontDoorRight
31091937,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,40712,1399,검정색,
31238999,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,51367,1350,흰색,
31087138,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,108179,1150,흰색,hood
29594956,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,77449,1150,흰색,quarterPanelLeft
31065589,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,55110,1450,흰색,
30819287,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,50065,1360,쥐색,
31139039,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,82801,1170,흰색,frontFenderRight|hood|radiatorSupport|frontFenderLeft
30612073,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,34507,1399,쥐색,
31092345,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,43066,1140,은회색,frontFenderRight|frontPanel|hood|frontFenderLeft
31032871,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,125809,1000,쥐색,
31240407,"아반떼 AD","1.6 GDI 스타일","",2016,96000,1130,흰색,hood
31165223,"아반떼 AD","1.6 GDI 프리미엄","",2016,49000,1400,흰색,frontFenderRight|hood|radiatorSupport|frontFenderLeft
31163660,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,22634,1479,흰색,
30789057,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,56083,1450,흰색,sideSillPanelRight|sideSillPanelLeft
31202453,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,73250,1390,흰색,
31224646,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,31815,1390,검정색,
29854492,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,46162,1090,은색,quarterPanelRight|rearDoorRight|sideSillPanelRight
29636025,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,14146,1399,은색,
31120897,"아반떼 AD","1.6 GDI 스타일","",2018,103080,990,흰색,crossMember|trunkLead|rearPanel
31168760,"아반떼 AD","1.6 GDI 모던","(세부등급 없음)",2018,32095,1230,흰색,frontFenderRight|frontSideMemberLeft|hood|insidePanelLeft|radiatorSupport|frontFenderLeft
31077978,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,33706,1380,검정색,
31182811,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,89289,1230,빨간색,
31177178,"아반떼 AD","1.6 GDI 스타일","",2017,30071,1250,은색,
31191876,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,20337,1160,쥐색,quarterPanelRight|frontFenderRight|hood|trunkLead|radiatorSupport|frontFenderLeft|rearPanel
30911245,"아반떼 AD","1.6 GDI 프리미엄","",2018,53281,1620,흰색,
31036336,"아반떼 AD","1.6 GDI 스마트","스페셜",2016,49340,1350,쥐색,
31141963,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,86317,1239,흰색,hood|radiatorSupport
31139774,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,86310,22,흰색,hood|radiatorSupport
31127260,"아반떼 AD","1.6 GDI 스마트","스페셜",2016,77398,1090,흰색,insidePanelRight|frontFenderRight|hood|frontDoorRight|radiatorSupport|frontFenderLeft
31232994,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,26801,1370,흰색,
31033464,"아반떼 AD","1.6 GDI 스마트","스페셜",2017,63578,1390,흰색,frontFenderRight
30982601,"아반떼 AD","1.6 GDI 모던","(세부등급 없음)",2016,61578,1269,흰색,sideSillPanelRight
30967922,"아반떼 AD","1.6 GDI 모던","(세부등급 없음)",2017,48313,1490,흰색,
31223366,"아반떼 AD","1.6 GDI 스마트","스페셜",2017,91317,1150,분홍색,sideSillPanelLeft|frontDoorLeft|frontFenderLeft|rearDoorLeft
31210028,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,34827,1350,은색,
